carotenoide,JETZ,IOC,Name,HBW,Familia,frugivoro
1,Acanthisitta chloris,Acanthisitta chloris,Acanthisitta_chloris,,Acanthisittidae,1
1,Xenicus gilviventris,Xenicus gilviventris,Xenicus_gilviventris,,Acanthisittidae,1
0,Pitta megarhyncha,Pitta megarhyncha,Pitta_megarhyncha,,Pittidae,0
1,Pitta elliotii,Hydrornis elliotii,Pitta_elliotii,,Pittidae,0
1,Pitta gurneyi,Hydrornis gurneyi,Pitta_gurneyi,,Pittidae,0
1,Pitta cyanea,Hydrornis cyaneus,Pitta_cyanea,,Pittidae,0
0,Pitta schneideri,Hydrornis schneideri,Pitta_schneideri,,Pittidae,0
0,Pitta baudii,Hydrornis baudii,Pitta_baudii,,Pittidae,0
1,Pitta guajana,Hydrornis guajanus,Pitta_guajana,,Pittidae,1
0,Pitta caerulea,Hydrornis caeruleus,Pitta_caerulea,,Pittidae,0
1,Pitta ussheri,Erythropitta ussheri,Pitta_ussheri,,Pittidae,0
0,Pitta soror,Hydrornis soror,Pitta_soror,,Pittidae,0
0,Pitta nipalensis,Hydrornis nipalensis,Pitta_nipalensis,,Pittidae,0
0,Pitta oatesi,Hydrornis oatesi,Pitta_oatesi,,Pittidae,0
0,Pitta phayrei,Hydrornis phayrei,Pitta_phayrei,,Pittidae,0
1,Pitta erythrogaster,Erythropitta erythrogaster,Pitta_erythrogaster,,Pittidae,0
1,Pitta kochi,Erythropitta kochi,Pitta_kochi,,Pittidae,0
1,Pitta venusta,Erythropitta venusta,Pitta_venusta,,Pittidae,0
1,Pitta arcuata,Erythropitta arquata,Pitta_arcuata,,Pittidae,0
1,Pitta granatina,Erythropitta granatina,Pitta_granatina,,Pittidae,1
1,Pitta brachyura,Pitta brachyura,Pitta_brachyura,,Pittidae,0
1,Pitta elegans,Pitta elegans,Pitta_elegans,,Pittidae,0
1,Pitta steerii,Pitta steerii,Pitta_steerii,,Pittidae,0
1,Pitta versicolor,Pitta versicolor,Pitta_versicolor,,Pittidae,1
1,Pitta superba,Pitta superba,Pitta_superba,,Pittidae,0
1,Pitta iris,Pitta iris,Pitta_iris,,Pittidae,1
1,Pitta maxima,Pitta maxima,Pitta_maxima,,Pittidae,0
1,Pitta anerythra,Pitta anerythra,Pitta_anerythra,,Pittidae,0
1,Pitta nympha,Pitta nympha,Pitta_nympha,,Pittidae,0
1,Pitta sordida,Pitta sordida,Pitta_sordida,,Pittidae,0
1,Pitta moluccensis,Pitta moluccensis,Pitta_moluccensis,,Pittidae,0
1,Pitta reichenowi,Pitta reichenowi,Pitta_reichenowi,,Pittidae,0
1,Pitta angolensis,Pitta angolensis,Pitta_angolensis,,Pittidae,0
1,Sapayoa aenigma,Sapayoa aenigma,Sapayoa_aenigma,,Eurylaimidae,1
0,Pseudocalyptomena graueri,Pseudocalyptomena graueri,Pseudocalyptomena_graueri,,Eurylaimidae,1
0,Serilophus lunatus,Serilophus lunatus,Serilophus_lunatus,,Eurylaimidae,0
1,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus_macrorhynchos,,Eurylaimidae,1
1,Eurylaimus ochromalus,Eurylaimus ochromalus,Eurylaimus_ochromalus,,Eurylaimidae,0
1,Eurylaimus javanicus,Eurylaimus javanicus,Eurylaimus_javanicus,,Eurylaimidae,1
0,Eurylaimus samarensis,Sarcophanops samarensis,Eurylaimus_samarensis,,Eurylaimidae,0
