Name,frugivoro,carotenoide,Musse
Acanthisitta_chloris,1,1,2
Xenicus_gilviventris,1,1,2
Pitta_megarhyncha,0,0,0
Pitta_elliotii,0,1,3
Pitta_gurneyi,0,1,3
Pitta_cyanea,0,1,3
Pitta_schneideri,0,0,0
Pitta_baudii,0,0,0
Pitta_guajana,1,1,2
Pitta_caerulea,0,0,0
Pitta_ussheri,0,1,3
Pitta_soror,0,0,0
Pitta_nipalensis,0,0,0
Pitta_oatesi,0,0,0
Pitta_phayrei,0,0,0
Pitta_erythrogaster,0,1,3
Pitta_kochi,0,1,3
Pitta_venusta,0,1,3
Pitta_arcuata,0,1,3
Pitta_granatina,1,1,2
Pitta_brachyura,0,1,3
Pitta_elegans,0,1,3
Pitta_steerii,0,1,3
Pitta_versicolor,1,1,2
Pitta_superba,0,1,3
Pitta_iris,1,1,2
Pitta_maxima,0,1,3
Pitta_anerythra,0,1,3
Pitta_nympha,0,1,3
Pitta_sordida,0,1,3
Pitta_moluccensis,0,1,3
Pitta_reichenowi,0,1,3
Pitta_angolensis,0,1,3
Sapayoa_aenigma,1,1,2
Pseudocalyptomena_graueri,1,0,1
Serilophus_lunatus,0,0,0
Cymbirhynchus_macrorhynchos,1,1,2
Eurylaimus_ochromalus,0,1,3
Eurylaimus_javanicus,1,1,2
Eurylaimus_samarensis,0,0,0
Eurylaimus_steerii,0,1,3
Psarisomus_dalhousiae,0,1,3
Corydon_sumatranus,0,1,3
Neodrepanis_coruscans,1,1,2
Neodrepanis_hypoxantha,0,1,3
Philepitta_castanea,1,1,2
Philepitta_schlegeli,1,1,2
Calyptomena_whiteheadi,1,0,1
Calyptomena_viridis,1,0,1
Calyptomena_hosii,1,0,1
Smithornis_sharpei,0,0,0
Smithornis_capensis,0,0,0
Smithornis_rufolateralis,0,0,0
Pipreola_riefferii,1,1,2
Pipreola_lubomirskii,1,1,2
Pipreola_pulchra,1,1,2
Pipreola_jucunda,1,1,2
Pipreola_aureopectus,1,1,2
Pipreola_formosa,1,1,2
Pipreola_whitelyi,1,1,2
Pipreola_intermedia,1,1,2
Pipreola_frontalis,1,1,2
Pipreola_arcuata,1,1,2
Pipreola_chlorolepidota,1,1,2
Ampelioides_tschudii,1,1,2
Phoenicircus_nigricollis,1,1,2
Phoenicircus_carnifex,1,1,2
Rupicola_rupicola,1,1,2
Rupicola_peruvianus,1,1,2
Carpornis_cucullata,1,1,2
Carpornis_melanocephala,1,1,2
Procnias_averano,1,1,2
Procnias_nudicollis,1,1,2
Procnias_tricarunculatus,1,1,2
Procnias_albus,1,1,2
Calyptura_cristata,1,1,2
Porphyrolaema_porphyrolaema,1,1,2
Xipholena_punicea,1,1,2
Xipholena_atropurpurea,1,1,2
Xipholena_lamellipennis,1,1,2
Carpodectes_nitidus,1,0,1
Carpodectes_hopkei,1,0,1
Carpodectes_antoniae,1,0,1
Gymnoderus_foetidus,1,0,1
Conioptilon_mcilhennyi,1,0,1
Tijuca_condita,1,1,2
Tijuca_atra,1,1,2
Lipaugus_unirufus,1,0,1
Lipaugus_uropygialis,1,0,1
Lipaugus_weberi,1,0,1
Lipaugus_vociferans,1,0,1
Lipaugus_streptophorus,1,1,2
Lipaugus_fuscocinereus,1,0,1
Lipaugus_lanioides,1,0,1
Cotinga_nattererii,1,1,2
Cotinga_ridgwayi,1,1,2
Cotinga_amabilis,1,1,2
Cotinga_maculata,1,1,2
Cotinga_cotinga,1,1,2
Cotinga_maynana,1,1,2
Cotinga_cayana,1,1,2
Querula_purpurata,1,1,2
Perissocephalus_tricolor,1,0,1
Cephalopterus_penduliger,1,0,1
Cephalopterus_ornatus,1,0,1
Cephalopterus_glabricollis,1,0,1
Pyroderus_scutatus,1,1,2
Haematoderus_militaris,1,1,2
Phibalura_flavirostris,1,1,2
Snowornis_subalaris,1,1,2
Snowornis_cryptolophus,1,1,2
Zaratornis_stresemanni,1,0,1
Ampelion_rubrocristatus,1,1,2
Ampelion_rufaxilla,1,1,2
Doliornis_sclateri,1,0,1
Doliornis_remseni,1,0,1
Phytotoma_raimondii,1,0,1
Phytotoma_rutila,1,0,1
Phytotoma_rara,1,0,1
Xenopipo_flavicapilla,1,1,2
Xenopipo_atronitens,1,1,2
Xenopipo_uniformis,1,1,2
Xenopipo_holochlora,1,1,2
Masius_chrysopterus,1,1,2
Corapipo_gutturalis,1,1,2
Corapipo_leucorrhoa,1,1,2
Corapipo_altera,1,1,2
Ilicura_militaris,1,1,2
Chiroxiphia_caudata,1,1,2
Chiroxiphia_pareola,1,1,2
Chiroxiphia_lanceolata,1,1,2
Chiroxiphia_boliviana,1,1,2
Chiroxiphia_linearis,1,1,2
Antilophia_galeata,1,1,2
Antilophia_bokermanni,1,1,2
Lepidothrix_vilasboasi,1,1,2
Lepidothrix_serena,1,1,2
Lepidothrix_suavissima,1,1,2
Lepidothrix_nattereri,1,1,2
Lepidothrix_coronata,1,1,2
Manacus_manacus,1,1,2
Manacus_vitellinus,1,1,2
Manacus_candei,1,1,2
Manacus_aurantiacus,1,1,2
Machaeropterus_pyrocephalus,1,1,2
Pipra_mentalis,1,1,2
Pipra_erythrocephala,1,1,2
Pipra_rubrocapilla,1,1,2
Pipra_cornuta,1,1,2
Machaeropterus_deliciosus,1,1,2
Pipra_pipra,1,1,2
Pipra_fasciicauda,1,1,2
Pipra_aureola,1,1,2
Pipra_filicauda,1,1,2
Heterocercus_linteatus,1,1,2
Heterocercus_aurantiivertex,1,1,2
Heterocercus_flavivertex,1,1,2
Tyranneutes_virescens,1,1,2
Tyranneutes_stolzmanni,1,1,2
Neopelma_chrysocephalum,1,1,2
Neopelma_sulphureiventer,1,1,2
Neopelma_chrysolophum,1,1,2
Neopelma_pallescens,1,1,2
Neopelma_aurifrons,1,1,2
Tachuris_rubrigastra,0,1,3
Rhynchocyclus_fulvipectus,0,1,3
Rhynchocyclus_olivaceus,0,1,3
Rhynchocyclus_pacificus,0,1,3
Rhynchocyclus_brevirostris,1,1,2
Tolmomyias_poliocephalus,0,1,3
Tolmomyias_assimilis,1,1,2
Tolmomyias_flavotectus,1,1,2
Tolmomyias_viridiceps,0,1,3
Tolmomyias_flaviventris,1,1,2
Tolmomyias_traylori,0,1,3
Tolmomyias_sulphurescens,1,1,2
Poecilotriccus_latirostris,0,1,3
Poecilotriccus_sylvia,1,1,2
Poecilotriccus_fumifrons,0,1,3
Poecilotriccus_luluae,0,1,3
Poecilotriccus_plumbeiceps,0,1,3
Poecilotriccus_russatus,0,1,3
Poecilotriccus_pulchellus,0,1,3
Poecilotriccus_albifacies,0,1,3
Poecilotriccus_capitalis,0,1,3
Poecilotriccus_ruficeps,0,1,3
Poecilotriccus_calopterus,0,1,3
Todirostrum_pictum,0,1,3
Todirostrum_poliocephalum,0,1,3
Todirostrum_cinereum,1,1,2
Todirostrum_viridanum,0,1,3
Todirostrum_chrysocrotaphum,0,1,3
Todirostrum_nigriceps,0,1,3
Todirostrum_maculatum,0,1,3
Myiornis_atricapillus,0,1,3
Myiornis_albiventris,0,1,3
Myiornis_ecaudatus,0,1,3
Myiornis_auricularis,0,1,3
Lophotriccus_eulophotes,0,1,3
Lophotriccus_galeatus,0,1,3
Lophotriccus_pileatus,0,1,3
Lophotriccus_vitiosus,0,1,3
Oncostoma_cinereigulare,1,1,2
Oncostoma_olivaceum,1,1,2
Hemitriccus_granadensis,0,1,3
Hemitriccus_minor,0,1,3
Hemitriccus_kaempferi,0,1,3
Atalotriccus_pilaris,0,1,3
Hemitriccus_griseipectus,0,1,3
Hemitriccus_mirandae,0,1,3
Hemitriccus_furcatus,0,1,3
Hemitriccus_spodiops,0,1,3
Hemitriccus_diops,0,1,3
Hemitriccus_flammulatus,0,1,3
Hemitriccus_orbitatus,0,1,3
