Iteration	Posterior	Likelihood	Prior	alpha	beta	num_events[1]	num_events[2]	rate_pr[1]	rate_pr[2]	root_frequencies[1]	root_frequencies[2]
0	-3.36075	-7.45043	4.08968	0.003854208	0.0009913873	1.14946	3.07202	284.725	106.536	0.742019	0.257981
1	-2.49735	-7.45043	4.95308	0.003854208	0.0009913873	0.621989	0.978865	526.184	334.347	0.742019	0.257981
2	-3.26444	-7.36881	4.10437	0.003854208	0.0009913873	1.33514	2.99498	245.128	109.276	0.845275	0.154725
3	-4.52315	-7.57614	3.05299	0.003854208	0.0009913873	0.902013	6.36371	362.833	51.4292	0.598606	0.401394
4	-4.5257	-7.48883	2.96313	0.003854208	0.0009913873	0.524235	5.09182	624.301	64.2758	0.696281	0.303719
5	-6.19287	-7.43732	1.24444	0.003854208	0.0009913873	0.453114	11.9036	722.292	27.4943	0.758046	0.241954
6	-4.67831	-7.4157	2.73739	0.003854208	0.0009913873	0.961171	7.77524	340.502	42.0926	0.784933	0.215067
7	-5.27561	-7.37218	2.09657	0.003854208	0.0009913873	0.547756	8.95615	597.493	36.5425	0.840837	0.159163
8	-3.08561	-7.57962	4.49401	0.003854208	0.0009913873	0.400531	0.736123	817.117	444.6	0.594883	0.405117
9	-2.82126	-7.92942	5.10816	0.003854208	0.0009913873	0.540248	0.605996	605.797	540.071	0.27995	0.72005
10	-2.93737	-7.73523	4.79786	0.003854208	0.0009913873	0.540248	0.975612	605.797	335.462	0.44113	0.55887
11	-2.17408	-7.39715	5.22307	0.003854208	0.0009913873	0.669463	0.730887	488.87	447.785	0.808467	0.191533
12	-2.58517	-7.86453	5.27935	0.003854208	0.0009913873	0.721979	0.730887	453.31	447.785	0.33037	0.66963
13	-2.50065	-7.8218	5.32116	0.003854208	0.0009913873	1.31041	0.834484	249.755	392.195	0.365397	0.634603
14	-2.10481	-7.30733	5.20253	0.003854208	0.0009913873	1.63868	0.901549	199.721	363.02	0.928796	0.0712039
15	-1.80922	-7.26277	5.45355	0.003854208	0.0009913873	1.58448	0.620938	206.553	527.075	0.992635	0.00736463
16	-5.4816	-8.37959	2.89799	0.003854208	0.0009913873	10.7292	1.12	30.5037	292.215	0.00736463	0.992635
17	-5.25054	-7.26277	2.01223	0.003854208	0.0009913873	1.88846	10.7058	173.305	30.5704	0.992635	0.00736463
18	-7.59771	-8.38399	0.78627	0.003854208	0.0009913873	5.47532	12.0005	59.7737	27.2723	0.00526032	0.99474
19	-3.5859	-7.26133	3.67543	0.003854208	0.0009913873	1.8995	3.81479	172.298	85.7925	0.99474	0.00526032
20	-1.61252	-7.2783	5.66578	0.003854208	0.0009913873	0.966124	0.413459	338.756	791.567	0.970066	0.0299336
21	-2.78844	-7.85833	5.06989	0.003854208	0.0009913873	0.966124	1.1526	338.756	283.949	0.335358	0.664642
22	-1.9666	-7.36659	5.39999	0.003854208	0.0009913873	1.4576	0.713494	224.534	458.701	0.848195	0.151805
23	-4.02729	-7.46423	3.43694	0.003854208	0.0009913873	1.04032	5.03182	314.597	65.0421	0.725377	0.274623
24	-4.51912	-7.88202	3.3629	0.003854208	0.0009913873	1.47966	5.16522	221.187	63.3623	0.316458	0.683542
25	-4.34969	-7.65276	3.30307	0.003854208	0.0009913873	1.9083	5.00351	171.503	65.4101	0.519635	0.480365
26	-3.51532	-7.31849	3.80317	0.003854208	0.0009913873	1.99108	3.38031	164.374	96.8197	0.913257	0.0867431
27	-2.67297	-8.02326	5.35029	0.003854208	0.0009913873	2.61278	0.374568	125.262	873.754	0.212595	0.787405
28	-2.52755	-7.46125	4.93371	0.003854208	0.0009913873	4.01123	0.405502	81.591	807.1	0.72895	0.27105
29	-3.45169	-7.7533	4.30161	0.003854208	0.0009913873	4.02749	1.19022	81.2616	274.976	0.424779	0.575221
30	-4.43678	-7.46357	3.02679	0.003854208	0.0009913873	8.47941	1.57098	38.5971	208.329	0.72617	0.27383
31	-4.50917	-7.53874	3.02957	0.003854208	0.0009913873	8.46555	1.57098	38.6603	208.329	0.639402	0.360598
32	-4.70459	-7.53874	2.83415	0.003854208	0.0009913873	10.0313	1.39922	32.6258	233.903	0.639402	0.360598
33	-2.86572	-7.35761	4.49189	0.003854208	0.0009913873	5.36109	0.534434	61.0474	612.387	0.860105	0.139895
34	-4.37287	-7.3867	3.01383	0.003854208	0.0009913873	10.9343	0.920805	29.9316	355.429	0.821919	0.178081
35	-4.10615	-7.33047	3.22432	0.003854208	0.0009913873	10.9343	0.67075	29.9316	487.932	0.896752	0.103248
36	-3.78812	-7.31536	3.52724	0.003854208	0.0009913873	10.6007	0.338929	30.8735	965.632	0.917593	0.0824072
37	-4.38725	-7.81273	3.42548	0.003854208	0.0009913873	11.1621	0.338929	29.3207	965.632	0.373027	0.626973
38	-3.24418	-7.35413	4.10995	0.003854208	0.0009913873	7.35386	0.445599	44.5046	734.474	0.864745	0.135255
39	-3.72724	-7.79277	4.06553	0.003854208	0.0009913873	7.16668	0.552038	45.667	592.859	0.390071	0.609929
40	-3.72536	-7.52165	3.79629	0.003854208	0.0009913873	1.71468	3.60784	190.87	90.7137	0.658559	0.341441
41	-4.48721	-7.71535	3.22813	0.003854208	0.0009913873	1.24406	5.79164	263.075	56.5091	0.459469	0.540531
42	-3.56506	-7.71535	4.15028	0.003854208	0.0009913873	1.24406	2.90704	263.075	112.582	0.459469	0.540531
43	-4.05891	-7.61032	3.55141	0.003854208	0.0009913873	8.14042	0.917413	40.2044	356.743	0.562624	0.437376
44	-2.81292	-7.7569	4.94398	0.003854208	0.0009913873	1.39497	1.32064	234.615	247.82	0.421553	0.578447
45	-1.98237	-7.68405	5.70169	0.003854208	0.0009913873	1.08402	0.37535	301.913	871.935	0.489079	0.510921
46	-2.24859	-7.31335	5.06476	0.003854208	0.0009913873	1.08402	1.18071	301.913	277.19	0.920397	0.0796026
