"","V1","V2"
"1","Acanthisitta_chloris",1
"2","Xenicus_gilviventris",1
"3","Calyptomena_hosii",1
"4","Calyptomena_whiteheadi",1
"5","Calyptomena_viridis",1
"6","Smithornis_sharpei",0
"7","Smithornis_rufolateralis",0
"8","Smithornis_capensis",0
"9","Pitta_oatesi",0
"10","Pitta_nipalensis",0
"11","Pitta_soror",0
"12","Pitta_elliotii",0
"13","Pitta_gurneyi",0
"14","Pitta_baudii",0
"15","Pitta_guajana",1
"16","Pitta_cyanea",0
"17","Pitta_caerulea",0
"18","Pitta_phayrei",0
"19","Pitta_moluccensis",0
"20","Pitta_schneideri",0
"21","Pitta_nympha",0
"22","Pitta_sordida",0
"23","Pitta_maxima",0
"24","Pitta_anerythra",0
"25","Pitta_elegans",0
"26","Pitta_versicolor",1
"27","Pitta_superba",0
"28","Pitta_iris",1
"29","Pitta_steerii",0
"30","Pitta_brachyura",0
"31","Pitta_megarhyncha",0
"32","Pitta_reichenowi",0
"33","Pitta_angolensis",0
"34","Pitta_arcuata",0
"35","Pitta_granatina",1
"36","Pitta_venusta",0
"37","Pitta_erythrogaster",0
"38","Pitta_ussheri",0
"39","Pitta_kochi",0
"40","Corydon_sumatranus",0
"41","Psarisomus_dalhousiae",0
"42","Eurylaimus_samarensis",0
"43","Eurylaimus_javanicus",1
"44","Eurylaimus_ochromalus",0
"45","Cymbirhynchus_macrorhynchos",1
"46","Serilophus_lunatus",0
"47","Eurylaimus_steerii",0
"48","Pseudocalyptomena_graueri",1
"49","Philepitta_schlegeli",1
"50","Philepitta_castanea",1
"51","Neodrepanis_hypoxantha",0
"52","Neodrepanis_coruscans",1
"53","Sapayoa_aenigma",1
"54","Onychorhynchus_coronatus",0
"55","Onychorhynchus_mexicanus",0
"56","Myiobius_sulphureipygius",0
"57","Myiobius_villosus",0
"58","Myiobius_atricaudus",0
"59","Myiobius_barbatus",0
"60","Terenotriccus_erythrurus",0
"61","Oxyruncus_cristatus",1
"62","Laniocera_rufescens",1
"63","Laniocera_hypopyrra",1
"64","Laniisoma_elegans",1
"65","Schiffornis_turdina",1
"66","Iodopleura_isabellae",1
"67","Iodopleura_pipra",1
"68","Iodopleura_fusca",1
"69","Pachyramphus_versicolor",1
"70","Pachyramphus_niger",1
"71","Pachyramphus_rufus",1
"72","Pachyramphus_viridis",1
"73","Pachyramphus_validus",0
"74","Pachyramphus_minor",1
"75","Pachyramphus_aglaiae",1
"76","Pachyramphus_homochrous",1
"77","Pachyramphus_polychopterus",1
"78","Pachyramphus_albogriseus",1
"79","Pachyramphus_marginatus",1
"80","Pachyramphus_major",1
"81","Pachyramphus_castaneus",1
"82","Pachyramphus_cinnamomeus",1
"83","Pachyramphus_surinamus",1
"84","Xenopsaris_albinucha",0
"85","Tityra_cayana",1
"86","Tityra_semifasciata",1
"87","Tityra_inquisitor",1
"88","Tachuris_rubrigastra",0
"89","Tolmomyias_sulphurescens",1
"90","Tolmomyias_flaviventris",1
"91","Tolmomyias_assimilis",1
"92","Tolmomyias_flavotectus",1
"93","Tolmomyias_poliocephalus",0
"94","Tolmomyias_traylori",0
"95","Tolmomyias_viridiceps",0
"96","Rhynchocyclus_brevirostris",1
"97","Rhynchocyclus_olivaceus",0
"98","Rhynchocyclus_fulvipectus",0
"99","Rhynchocyclus_pacificus",0
"100","Poecilotriccus_pulchellus",0
"101","Poecilotriccus_ruficeps",0
"102","Poecilotriccus_capitalis",0
"103","Poecilotriccus_calopterus",0
"104","Poecilotriccus_luluae",0
"105","Poecilotriccus_fumifrons",0
"106","Poecilotriccus_albifacies",0
"107","Poecilotriccus_russatus",0
"108","Poecilotriccus_plumbeiceps",0
"109","Poecilotriccus_sylvia",1
"110","Poecilotriccus_latirostris",0
"111","Todirostrum_cinereum",1
"112","Todirostrum_chrysocrotaphum",0
"113","Todirostrum_pictum",0
"114","Todirostrum_poliocephalum",0
"115","Todirostrum_maculatum",0
"116","Todirostrum_viridanum",0
"117","Todirostrum_nigriceps",0
"118","Myiornis_atricapillus",0
"119","Myiornis_albiventris",0
"120","Myiornis_ecaudatus",0
"121","Myiornis_auricularis",0
"122","Hemitriccus_minimus",0
"123","Hemitriccus_iohannis",0
"124","Hemitriccus_nidipendulus",0
"125","Hemitriccus_striaticollis",0
"126","Hemitriccus_margaritaceiventer",0
"127","Hemitriccus_granadensis",0
"128","Hemitriccus_furcatus",0
"129","Hemitriccus_cinnamomeipectus",0
"130","Hemitriccus_flammulatus",0
"131","Hemitriccus_obsoletus",0
"132","Hemitriccus_orbitatus",0
"133","Hemitriccus_josephinae",0
"134","Hemitriccus_diops",0
"135","Hemitriccus_rufigularis",0
"136","Hemitriccus_griseipectus",0
"137","Hemitriccus_mirandae",0
"138","Hemitriccus_spodiops",0
"139","Hemitriccus_kaempferi",0
"140","Hemitriccus_minor",0
"141","Lophotriccus_pileatus",0
"142","Lophotriccus_eulophotes",0
"143","Lophotriccus_galeatus",0
"144","Lophotriccus_vitiosus",0
"145","Oncostoma_cinereigulare",1
"146","Oncostoma_olivaceum",1
"147","Atalotriccus_pilaris",0
"148","Cnipodectes_superrufus",0
"149","Cnipodectes_subbrunneus",0
"150","Taeniotriccus_andrei",0
"151","Corythopis_torquatus",0
"152","Corythopis_delalandi",0
"153","Pseudotriccus_simplex",0
"154","Pseudotriccus_ruficeps",0
"155","Pseudotriccus_pelzelni",0
"156","Phylloscartes_parkeri",0
"157","Phylloscartes_flavovirens",0
"158","Phylloscartes_nigrifrons",1
"159","Phylloscartes_orbitalis",0
"160","Phylloscartes_roquettei",0
"161","Phylloscartes_kronei",1
"162","Phylloscartes_ventralis",0
"163","Phylloscartes_eximius",0
"164","Phylloscartes_ceciliae",0
"165","Phylloscartes_paulista",0
"166","Phylloscartes_poecilotis",0
"167","Phylloscartes_flaviventris",0
"168","Phylloscartes_sylviolus",0
"169","Phylloscartes_gualaquizae",0
"170","Phylloscartes_oustaleti",0
"171","Phylloscartes_virescens",0
"172","Phylloscartes_superciliaris",1
"173","Phylloscartes_difficilis",0
"174","Phylloscartes_beckeri",0
"175","Phylloscartes_ophthalmicus",0
"176","Leptopogon_superciliaris",1
"177","Leptopogon_taczanowskii",1
"178","Leptopogon_amaurocephalus",1
"179","Leptopogon_rufipectus",1
"180","Mionectes_rufiventris",1
"181","Mionectes_oleagineus",1
"182","Mionectes_macconnelli",1
"183","Mionectes_olivaceus",1
"184","Mionectes_striaticollis",1
"185","Platyrinchus_saturatus",0
"186","Platyrinchus_mystaceus",0
"187","Platyrinchus_platyrhynchos",0
"188","Platyrinchus_leucoryphus",0
"189","Platyrinchus_coronatus",0
"190","Platyrinchus_cancrominus",1
"191","Neopipo_cinnamomea",0
"192","Legatus_leucophaius",1
"193","Attila_rufus",1
"194","Attila_cinnamomeus",1
"195","Attila_citriniventris",1
"196","Attila_spadiceus",1
"197","Attila_torridus",1
"198","Attila_bolivianus",1
"199","Myiozetetes_luteiventris",1
"200","Myiozetetes_similis",1
"201","Myiozetetes_granadensis",1
"202","Myiozetetes_cayanensis",1
"203","Myiodynastes_luteiventris",1
"204","Myiodynastes_chrysocephalus",1
"205","Myiodynastes_bairdii",1
"206","Myiodynastes_maculatus",1
"207","Myiodynastes_hemichrysus",1
"208","Tyrannus_vociferans",1
"209","Tyrannus_caudifasciatus",1
"210","Tyrannus_cubensis",1
"211","Tyrannus_tyrannus",1
"212","Tyrannus_verticalis",1
"213","Tyrannus_forficatus",1
"214","Tyrannus_dominicensis",1
"215","Tyrannus_savana",1
"216","Tyrannus_couchii",1
"217","Tyrannus_melancholicus",1
"218","Tyrannus_niveigularis",1
"219","Tyrannus_albogularis",0
"220","Empidonomus_aurantioatrocristatus",1
"221","Empidonomus_varius",1
"222","Megarynchus_pitangua",1
"223","Tyrannopsis_sulphurea",1
"224","Machetornis_rixosa",0
"225","Pitangus_sulphuratus",1
"226","Pitangus_lictor",0
"227","Phelpsia_inornatus",1
"228","Sirystes_sibilator",1
"229","Sirystes_albogriseus",0
"230","Myiarchus_sagrae",1
"231","Myiarchus_stolidus",1
"232","Myiarchus_barbirostris",0
"233","Myiarchus_venezuelensis",1
"234","Myiarchus_panamensis",1
"235","Myiarchus_cephalotes",0
"236","Myiarchus_antillarum",1
"237","Myiarchus_validus",1
"238","Myiarchus_magnirostris",0
"239","Myiarchus_ferox",1
"240","Myiarchus_phaeocephalus",0
"241","Myiarchus_crinitus",1
"242","Myiarchus_oberi",1
"243","Myiarchus_apicalis",1
"244","Myiarchus_cinerascens",1
"245","Myiarchus_tyrannulus",1
"246","Myiarchus_swainsoni",1
"247","Myiarchus_tuberculifer",1
"248","Myiarchus_nuttingi",1
"249","Rhytipterna_holerythra",1
"250","Rhytipterna_simplex",1
"251","Rhytipterna_immunda",1
"252","Ramphotrigon_megacephalum",0
"253","Conopias_trivirgatus",0
"254","Conopias_parvus",1
"255","Conopias_cinchoneti",1
"256","Conopias_albovittatus",1
"257","Deltarhynchus_flammulatus",0
"258","Ramphotrigon_fuscicauda",0
"259","Ramphotrigon_ruficauda",1
"260","Satrapa_icterophrys",0
"261","Muscisaxicola_maculirostris",0
"262","Muscisaxicola_alpinus",0
"263","Muscisaxicola_maclovianus",0
"264","Muscisaxicola_frontalis",1
"265","Muscisaxicola_capistratus",0
"266","Muscisaxicola_cinereus",0
"267","Muscisaxicola_albifrons",0
"268","Muscisaxicola_rufivertex",0
"269","Muscisaxicola_flavinucha",0
"270","Muscisaxicola_juninensis",0
"271","Muscisaxicola_albilora",0
